CAM_PF4
YEAR	MONTH	C100MIF	C3MIF	C5MIF	C203MIF	C9MIF	C129MIF
1984	3	18	6	200	105	31	307
1984	4	18	3	200	105	31	307
1984	5	17	3	187	94	29	288
1984	6	18	3	200	105	72	307
1984	7	32	3	287	60	86	298
1984	8	180	3	477	61	145	307
1984	9	47	3	518	60	108	298
1984	10	28	3	616	61	89	307
1984	11	28	3	511	61	48	307
1984	12	27	3	326	60	39	298
1985	1	23	3	248	105	98	307
1985	2	18	6	193	101	139	298
1985	3	18	6	200	105	54	307
1985	4	18	3	200	105	54	307
1985	5	17	3	180	94	45	278
1985	6	18	3	200	105	78	307
1985	7	32	3	277	60	131	298
1985	8	180	3	456	61	133	307
1985	9	47	3	470	60	79	298
1985	10	28	3	511	61	41	307
1985	11	28	3	405	61	31	307
1985	12	27	3	252	60	26	298
1986	1	23	3	200	105	46	307
1986	2	18	6	193	101	30	298
1986	3	18	6	200	105	31	307
1986	4	18	3	200	105	45	307
1986	5	17	3	180	94	43	278
1986	6	18	3	200	105	71	277
1986	7	32	3	261	60	84	298
1986	8	180	3	445	61	117	307
1986	9	47	3	487	60	107	298
1986	10	28	3	556	61	125	307
1986	11	28	3	482	61	136	307
1986	12	27	3	298	60	71	298
1987	1	23	3	229	105	98	307
1987	2	18	6	193	101	139	298
1987	3	18	6	200	105	54	307
1987	4	18	3	200	105	54	307
1987	5	17	3	180	94	45	278
1987	6	18	3	200	105	52	246
1987	7	32	3	290	60	71	298
1987	8	180	3	453	61	91	307
1987	9	47	3	471	60	52	298
1987	10	28	3	504	61	31	307
1987	11	28	3	392	61	31	307
1987	12	27	3	233	60	24	298
1988	1	23	3	200	74	42	307
1988	2	18	6	193	71	30	298
1988	3	18	6	200	74	31	307
1988	4	18	3	200	74	37	307
1988	5	17	3	187	67	46	288
1988	6	18	3	200	61	63	200
1988	7	32	3	248	45	47	193
1988	8	180	3	375	46	109	200
1988	9	47	3	387	45	88	193
1988	10	28	3	373	46	82	200
1988	11	28	3	211	46	80	200
1988	12	27	3	193	45	30	193
1989	1	23	3	200	55	41	200
1989	2	18	6	193	54	30	193
1989	3	18	6	200	55	31	200
1989	4	18	3	200	55	41	200
1989	5	17	3	180	50	40	180
1989	6	18	3	200	46	61	200
1989	7	32	3	255	45	115	268
1989	8	180	3	429	46	133	277
1989	9	47	3	446	45	82	268
