!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
               37                2              100            15.75            31.50
               37                3              100            15.75            15.75
               38                4              100             0.00             3.15
               38                5              100             0.00             3.15
               38                6              100             0.00             3.15
               38                7              100             0.00             3.15
               38                8              100             0.00             3.15
               38                9              100             0.00             3.15
               38               10              100             0.00             3.15
               38               11              100             0.00             3.15
               38               12              100             0.00             3.15
               38                1              100             0.00             3.15
               38                2              100             3.15             3.15
               38                3              100             0.00             0.00
               39                4              100             0.00            11.81
               39                5              100             0.00            11.81
               39                6              100             0.01            11.81
               39                7              100             0.20            11.80
               39                8              100             0.20            11.59
               39                9              100             0.20            11.39
               39               10              100             0.20            11.18
               39               11              100             0.20            10.98
               39               12              100             0.20            10.78
               39                1              100             0.16            10.57
               39                2              100             0.20            10.41
               39                3              100            10.20            10.20
                1                4               60             0.00            26.22
                1                5               60             0.00            26.22
                1                6               60             0.00            26.22
                1                7               60             0.00            26.22
                1                8               60             3.00            26.22
                1                9               60             2.77            23.21
                1               10               60             2.21            20.44
                1               11               60             3.00            18.23
                1               12               60             5.08            15.23
                1                1               60             3.69            10.15
                1                2               60             3.23             6.46
                1                3               60             3.23             3.23
                2                4               60             0.00            36.81
                2                5               60             0.00            36.81
                2                6               60             0.00            36.81
                2                7               60             0.00            36.81
                2                8               60             2.54            36.81
                2                9               60             6.96            34.27
                2               10               60             6.00            27.30
                2               11               60            11.31            21.30
                2               12               60             1.38             9.99
                2                1               60             1.85             8.61
                2                2               60             2.77             6.76
                2                3               60             3.99             3.99
                3                4               60             0.00            38.01
                3                5               60             0.00            38.01
                3                6               60             8.24            38.01
                3                7               60             0.00            29.77
                3                8               60             0.00            29.77
                3                9               60             2.67            29.77
                3               10               60             2.67            27.10
                3               11               60             5.63            24.43
                3               12               60             5.66            18.80
                3                1               60             5.05            13.14
                3                2               60             4.37             8.09
                3                3               60             3.72             3.72
                4                4               60             0.00           113.90
                4                5               60             0.00           113.90
                4                6               60             0.00           113.90
                4                7               60             0.00           113.90
                4                8               60             0.00           113.90
                4                9               60             8.86           113.90
                4               10               60            16.19           105.04
                4               11               60            18.79            88.85
                4               12               60            21.06            70.06
                4                1               60            19.08            48.99
                4                2               60            16.99            29.91
                4                3               60            12.92            12.92
                5                4               60             1.06            12.70
                5                5               60             1.06            11.64
                5                6               60             1.06            10.58
                5                7               60             1.06             9.53
                5                8               60             1.06             8.47
                5                9               60             1.06             7.41
                5               10               60             1.06             6.35
                5               11               60             1.06             5.29
                5               12               60             1.06             4.23
                5                1               60             1.06             3.18
                5                2               60             1.06             2.12
                5                3               60             1.06             1.06
                6                4               60             0.00            68.46
                6                5               60             0.00            68.46
                6                6               60             0.00            68.46
                6                7               60             0.00            68.46
                6                8               60             0.00            68.46
                6                9               60            10.32            68.46
                6               10               60            11.63            58.14
                6               11               60            11.63            46.51
                6               12               60            10.32            34.88
                6                1               60             9.59            24.56
                6                2               60             8.72            14.97
                6                3               60             6.25             6.25
                7                4               60             0.00             7.66
                7                5               60             0.00             7.66
                7                6               60             0.00             7.66
                7                7               60             0.00             7.66
                7                8               60             0.00             7.66
                7                9               60             0.00             7.66
                7               10               60             2.81             7.66
                7               11               60             2.44             4.85
                7               12               60             0.00             2.42
                7                1               60             0.84             2.42
                7                2               60             1.57             1.57
                7                3               60             0.00             0.00
