!
!coefev = [area(i+1) - area(i)]/[storage(i+1)-storage(i)]
!         added by Z.Q. Richard Chen 5/8/2017
!______________________________________________________________
!Updated into for res_num 94 (JNKSN). Added res_num 95 to 97 for Eastside Streams ---- Idy Lui/BDO 1/28/2019
!Area capacity relationship from CS3_ER_XXX.xlsm spreadsheets provided by Andy Draper/Stantec
!_________________________________________________________________
!units:            af   acre      cfs     ft     [1/ft]
!
res_info
res_num         storage     area      discharge    elevation		coefev	
      91	 130223	     3927	 99999		  186		0.01952787
      91	 138314	     4085	 99999		  188		0.017403743
      91	 146703	     4231	 99999		  190		0.0170448
      91	 155386	     4379	 99999		  192		0.017030276
      91	 164370	     4532	 99999		  194		0.016356397
      91	 173663	     4684	 99999		  196		0.016145833
      91	 183263	     4839	 99999		  198		0.015837789
      91	 193176	     4996	 99999		  200		0.014392011
      91	 203390	     5143	 99999	  	  202		0.014085848
      91	 213897	     5291	 99999		  204		0.014059754
      91	 224708	     5443	 99999		  206		0.013323731
      91	 235816	     5591	 99999		  208		0.013578625
      91	 247231	     5746	 99999		  210		0.013219616
      91	 258956	     5901	 99999		  212		0.012549867
      91	 270988	     6052	 99999		  214		0.011287965
      91	 283302	     6191	 99999		  216		0.010961951
      91	 295891	     6329	 99999		  218		0.01011437
      91	 308744	     6459	 99999		  220		0.009989324
      91	 321858	     6590	 99999		  222		0.009498168
      91	 335229	     6717	 99999		  224		0.009248385
      91	 348853	     6843	 99999		  226		0.009081736
      91	 362727	     6969	 99999		  228		0.009337861
      91	 376863	     7101	 99999		  230		0.009303617
      91	 391266	     7235	 99999		  232		0.009469955
      91	 405944	     7374	 99999		  234		0.008434299
      91	 420883	     7500	 99999		  236		0.008295477
      91	 436072	     7626	 99999		  238		0.007967869
      91	 451509	     7749	 99999		  240		0.008158582
      91	 467198	     7877	 99999		  242		0.008460767
      91	 483154	     8012	 99999		  244		0.00825886
      91	 499379	     8146	 99999		  246		0.004324194
      91	 532680	     8290	 99999		  248		0.004324194
      92              0         0            0              0		0.03548	! New Hogan Reservoir
      92          32500      1153        99999            605		0.01788	
      92          65000      1734        99999            627		0.01418	
      92          97500      2195        99999            643		0.01222	
      92         130000      2592        99999            657		0.01095	
      92         162500      2948        99999            668		0.01003	
      92         195000      3274        99999            679		0.00932	
      92         227500      3577        99999            688		0.00874	
      92         260000      3861        99999            697		0.00831	
      92         292500      4131        99999            705		0.00791	
      92         325000      4388        99999            713		0.00791	
      93         	0      	 	0         		0           0		0.0101	!New Bullards Bar Reservoir (Zero elevation coefev estimated)
      93         190000      1648         3218           1700		0.00587
      93         251000      2006         3251           1732		0.0049	
      93         400000      2736         3267           1801		0.00397	
      93         600000      3529        99999           1874		0.0036	
      93         700000      3889        99999           1902		0.00349	
      93         796000      4224        99999           1918		0.00344	
      93         896000      4568        99999           1948		0.00344	
      93         966000      4809        99999           1961		0	
      93         990000      4809        99999           1965		0
      94	      0	        0	 99999		 3350		0.01007 ! Jenkinson Lake
      94	  28309	      285	 99999		 3449		0.59191 
      94	  28722	      529	 99999		 3450		0.00000 
      94	  29137	      529	 99999		 3451		0.00925 
      94	  29553	      533	 99999		 3452		0.01802 
      94	  29953	      541	 99999		 3452		0.02387 
      94	  30221	      547	 99999		 3453		0.02141 
      94	  30364	      550	 99999		 3453		0.00000 
      94	  30774	      550	 99999		 3454		0.00000 
      94	  31184	      550	 99999		 3455		0.00161 
      94	  31597	      551	 99999		 3455		0.01510 
      94	  32026	      557	 99999		 3456		0.02070 
      94	  32416	      565	 99999		 3457		0.01700 
      94	  32828	      572	 99999		 3458		0.01618 
      94	  33239	      579	 99999		 3458		0.01669 
      94	  33649	      586	 99999		 3459		0.00000 
      94	  34059	      586	 99999		 3460		0.00000 
      94	  34469	      586	 99999		 3460		0.00000 
      94	  34877	      586	 99999		 3461		0.01038 
      94	  35290	      590	 99999		 3462		0.01375 
      94	  35701	      596	 99999		 3462		0.01742 
      94	  36117	      603	 99999		 3463		0.01846 
      94	  36526	      610	 99999		 3464		0.01528 
      94	  36933	      617	 99999		 3464		0.00371 
      94	  37341	      618	 99999		 3465		0.00000 
      94	  37754	      618	 99999		 3466		0.00000 
      94	  38160	      618	 99999		 3466		0.00739 
      94	  38570	      621	 99999		 3467		0.01464 
      94	  38984	      627	 99999		 3468		0.01749 
      94	  39390	      634	 99999		 3468		0.01524 
      94	  39800	      641	 99999		 3469		0.00000 
      94	  40214	      641	 99999		 3470		0.00000 
      94	  40624	      641	 99999		 3470		0.00000 
      94	  41072	      641	 99999		 3471		0.01124 
      94	  41446	      645	 99999		 3472		0.00934 
      94	  42000	      650	 99999		 3472		0.01548  
      95	      0		0	 99999		 5600		0.04167	! Lower Bear Reservoir
      95	     24         1	 99999		 5610		0.03750
      95	    104	        4	 99999		 5630		0.03600		   
      95	    354	       13	 99999		 5650		0.03063
      95	   1007	       33	 99999		 5670		0.02096
      95	   2152	       57	 99999		 5690		0.02458			
      95	   4390	      112	 99999		 5710		0.02373
      95	   8647	      213	 99999		 5730		0.02143
      95	  16112	      373	 99999		 5750		0.01276
      95	  26140	      501	 99999		 5770		0.00811
      95	  38105	      598	 99999		 5790		0.00632
      95	  55036	      705	 99999		 5812		0.01281         
      96	      0	        0	 99999		 3666		0.57778	!Salt Springs Reservoir
      96	     45	       26	 99999		 3667		0.00913	 
      96	   1250	       37	 99999		 3684		0.11395
      96	   1680	       86	 99999		 3703		0.03462
      96	   2200	      104	 99999		 3708		0.02951
      96	   2810	      122	 99999		 3713		0.02817
      96	   3520	      142	 99999		 3718		0.02250
      96	   4320	      160	 99999		 3723		0.02418
      96	   5230	      182	 99999		 3728		0.01800
      96	   6230	      200	 99999		 3733		0.01651
      96	   7320	      218	 99999		 3738		0.01210
      96	   9800	      248	 99999		 3745		0.01448
      96	  12700	      290	 99999		 3755		0.00797
      96	  19600	      345	 99999		 3770		0.00893
      96	  28000	      420	 99999		 3790		0.00439
      96	  54900	      538	 99999		 3825		0.00501
      96	  90800	      718	 99999		 3875		0.00319
      96	 141900	      881	 99999		 3929      	0.00621
      97	      0	        0	 99999		  288		0.00518	 !Lake Amador
      97	  22000	      114	 99999		  385  		0.00518
     293          0      0      999      946	0.10000  ! Rollins Reservoir
     293	100	10	99999	1960	0.08235 
     293	270	24	99999	1970	0.05538
     293	595	42	99999	1980	0.03846
     293	1115	62	99999	1990	0.02778
     293	1835	82	99999	2000	0.02174
     293	2755	102	99999	2010	0.02403
     293	3920	130	99999	2020	0.01566
     293	5325	152	99999	2030	0.01682
     293	6990	180	99999	2040	0.01538
     293	8940	210	99999	2050	0.01333
     293	11190	240	99999	2060	0.01539
     293	13789	280	99999	2070	0.01237
     293	16781	317	99999	2080	0.00989
     293	20118	350	99999	2090	0.01333
     293	23868	400	99999	2100	0.00953
     293	28067	440	99999	2110	0.01180
     293	32729	495	99999	2120	0.01050
     293	37966	550	99999	2130	0.01034
     293	43766	610	99999	2140	0.01014
     293	50178	675	99999	2150	0.01051
     293	57315	750	99999	2160	0.00892
     293	65164	820	99999	2170	0.00598
     293	66000	825	99999	2188	0.00598
     291	0	0	99999	1530	2.60000  ! Lake Combie (Jay added)
     291	5	13	99999	1540	3.57143
     291	12	38	99999	1550	3.88889
     291	21	73	99999	1560	0.45833
     291	69	95	99999	1565	0.14917
     291	250	122	99999	1570	0.07732
     291	638	152	99999	1575	0.05391
     291	1213	183	99999	1580	0.04907
     291	2986	270	99999	1590	0.03503
     291	5555	360	99999	1610	0.03503
     286	0	0	99999	145	0.041000  ! Camp Far West (Jay Added)
     286	1000	41	99999	170	0.045161
     286	1310	55	99999	175	0.050000
     286	1690	74	99999	180	0.049057
     286	2750	126	99999	190	0.041818
     286	4400	195	99999	200	0.036667
     286	6800	283	99999	210	0.031250
     286	10160	388	99999	220	0.027617
     286	14650	512	99999	230	0.024399
     286	20470	654	99999	240	0.021828
     286	27800	814	99999	250	0.019690
     286	36840	992	99999	260	0.018040
     286	47760	1189	99999	270	0.016462
     286	60760	1403	99999	280	0.015203
     286	76020	1635	99999	290	0.014165
     286	93740	1886	99999	300	0.015242
     286	104500	2050	99999	320	0.015242
     239              0         0        99999           4850		1.98807	!???
     239          0.503         1        99999           4851		1.98807	
     400              0         0        99999           3280		0.15	! Sly Creek Reservoir
     400            100        15        99999           3300		0.05	
     400            600        40        99999           3320		0.03889	
     400           1500        75        99999           3340		0.02	
     400           3500       115        99999           3360		0.018	
     400           6000       160        99999           3380		0.01425	
     400          10000       217        99999           3400		0.01178	
     400          14500       270        99999           3420		0.00846	
     400          21000       325        99999           3440		0.00923	
     400          27500       385        99999           3460		0.00722	
     400          36500       450        99999           3480		0.0075	
     400          46500       525        99999           3500		0.00838	
     400          57000       613        99999           3520		0.00838	
     401              0         0        99999           4890		0.026  !Little Grass Valley Reservoir	
     401           5000       130        99999           4950		0.038	
     401          10000       320        99999           4965		0.028	
     401          20000       600        99999           4985		0.02	
     401          30000       800        99999           5000		0.02	
     401          40000      1000        99999           5010		0.02	
     401          50000      1200        99999           5019		0.016	
     401          60000      1360        99999           5026		0.015	
     401          70000      1510        99999           5035		0.009	
     401          80000      1600        99999           5041		0.005	
     401          90000      1650        99999           5047		0.005	
     422              0         0        99999            200		0.021	!Los Vaqueros
     422          50000      1050        99999            200		0.008	
     422         100000      1450        99999            200		0.006	
     422         150000      1750        99999            200		0.006	
     422         200000      2050        99999            200		0.005	
     422         250000      2300        99999            200		0.005	
     422         300000      2550        99999            200		0.004	
     422         375000      2850        99999            200		0.0036	
     422         500000      3300        99999            200		0.0036	
     500	0	60	0	1268	0.33684  ! CLear Lake, Jay Added Elevation Column
     500	1900	700	0	1273	0.20694
     500	9100	2190	0	1278	0.09664
     500	24000	3630	0	1283	0.1156
     500	49000	6520	0	1288	0.16236
     500	104000	15450	0	1293	0.06935
     500	197000	21900	0	1298	0.04694
     500	321000	27720	0	1303	0.03916
     500	476000	33790	0	1308	0.01733
     500	652000	36840	0	1313	0.01489
     500	842000	39670	0	1318	0.01134
     500	845970	39715	20	1318.1	0.01134
     500	849940	39760	120	1318.2	0.00958
     500	852550	39785	190	1318.25	0.01026
     500	855475	39815	99999	1318.3	0.02259
     500	857910	39870	99999	1318.4	0.01128
     500	861900	39915	99999	1318.5	0.01128
     500	865890	39960	99999	1318.6	0.015
     500	869890	40020	99999	1318.7	0.015
     500	873890	40020	99999	1318.8	0.0137
     500	877905	40135	99999	1318.9	0.0137
     500	881920	40190	99999	1319	0.01242
     500	885945	40240	99999	1319.1	0.01242
     500	889970	40290	99999	1319.2	0.01239
     500	894005	40340	99999	1319.3	0.01239
     500	898040	40390	99999	1319.4	0.01114
     500	902080	40435	99999	1319.5	0.01114
     500	906120	40480	99999	1319.6	0.0111
     500	910175	40525	99999	1319.7	0.0111
     500	914230	40570	99999	1319.8	0.01108
     500	918290	40615	99999	1319.9	0.01108
     500	922350	40660	99999	1320	0.01106
     500	926420	40705	99999	1320.1	0.01106
     500	930490	40750	99999	1320.2	0.00735
     500	934570	40780	99999	1320.3	0.00735
     500	938650	40810	99999	1320.4	0.01102
     500	942735	40855	99999	1320.5	0.01102
     500	946820	40900	99999	1320.6	0.00733
     500	950910	40930	99999	1320.7	0.00733
     500	955000	40960	99999	1320.8	0.01096
     500	959105	41005	99999	1320.9	0.01096
     500	963210	41050	99999	1321	0.00731
     500	967315	41080	99999	1321.1	0.00731
     500	971420	41110	99999	1321.2	0.00608
     500	975535	41135	99999	1321.3	0.00608
     500	979650	41160	99999	1321.4	0.00607
     500	983770	41185	99999	1321.5	0.00607
     500	987890	41210	99999	1321.6	0.00728
     500	992010	41240	99999	1321.7	0.00728
     500	996130	41270	99999	1321.8	0.00605
     500	1000260	41295	99999	1321.9	0.00605
     500	1004390	41320	99999	1322	0.0157
     500	1008530	41385	99999	1322.1	0.0157
     500	1012670	41450	99999	1322.2	0.01566
     500	1016820	41515	99999	1322.3	0.01566
     500	1020970	41580	99999	1322.4	0.01561
     500	1025135	41645	99999	1322.5	0.01561
     500	1029300	41710	99999	1322.6	0.01317
     500	1033475	41765	99999	1322.7	0.01317
     500	1037650	41820	99999	1322.8	0.01551
     500	1041840	41885	99999	1322.9	0.01551
     500	1046030	41950	99999	1323	0.01784
     500	1050235	42025	99999	1323.1	0.01784
     500	1054440	42100	99999	1323.2	0.01781
     500	1058650	42175	99999	1323.3	0.01777
     500	1062870	42250	99999	1323.4	0.01771
     500	1067105	42325	99999	1323.5	0.01771
     500	1071340	42400	99999	1323.6	0.01649
     500	1075585	42470	99999	1323.7	0.01649
     500	1079830	42540	99999	1323.8	0.01878
     500	1084090	42620	99999	1323.9	0.01878
     500	1088350	42700	99999	1324	0.01402
     500	1092630	42760	99999	1324.1	0.01402
     500	1096910	42820	99999	1324.2	0.01634
     500	1101195	42890	99999	1324.3	0.01634
     500	1105480	42960	99999	1324.4	0.01742
     500	1109785	43035	99999	1324.5	0.01742
     500	1114090	43110	99999	1324.6	0.01852
     500	1118410	43190	99999	1324.7	0.01852
     500	1122730	43270	99999	1324.8	0.01615
     500	1127065	43340	99999	1324.9	0.01615
     500	1131400	43410	99999	1325	0.02073
     500	1135742	43500	99999	1325.1	0.02069
     500	1140091	43590	99999	1325.2	0.01376
     500	1144450	43650	99999	1325.3	0.01376
     500	1148810	43710	99999	1325.4	0.01482
     500	1153195	43775	99999	1325.5	0.01482
     500	1157580	43840	99999	1325.6	0.01367
     500	1161970	43900	99999	1325.7	0.01367
     500	1166360	43960	99999	1325.8	0.01362
     500	1170765	44020	99999	1325.9	0.01362
     500	1175170	44080	99999	1326	0.01247
     500	1179580	44135	99999	1326.1	0.01247
     500	1183990	44190	99999	1326.2	0.0113
     500	1188415	44240	99999	1326.3	0.0113
     500	1192840	44290	99999	1326.4	0.01015
     500	1197275	44335	99999	1326.5	0.01015
     500	1201710	44380	99999	1326.6	0.00901
     500	1206150	44420	99999	1326.7	0.00901
     500	1210590	44460	99999	1326.8	0.01122
     500	1215045	44510	99999	1326.9	0.01122
     500	1219500	44560	99999	1327	0.01009
     500	1223960	44605	99999	1327.1	0.01009
     500	1228420	44650	99999	1327.2	0.01119
     500	1232890	44700	99999	1327.3	0.01119
     500	1237360	44750	99999	1327.4	0.00894
     500	1241835	44790	99999	1327.5	0.00894
     500	1246310	44830	99999	1327.6	0.01002
     500	1250800	44875	99999	1327.7	0.01002
     500	1255290	44920	99999	1327.8	0.01001
     500	1259785	44965	99999	1327.9	0.01001
     500	1264280	45010	99999	1328	0.01001
     500	1268775	45055	99999	1328.1	0.01001
     500	1273270	45100	99999	1328.2	0.01001
     501              0         0        99999           1290		50	!use upper interval coefev Indian  Valley
     501            189         0        99999           1300		50	
     501            190        50        99999           1310		0.09938	
     501            995       130        99999           1320		0.06011	
     501           2825       240        99999           1330		0.0506	
     501           6185       410        99999           1340		0.03545	
     501          10980       580        99999           1350		0.01507	
     501          18280       690        99999           1360		0.03902	
     501          25200       960        99999           1370		0.00737	
     501          34700      1030        99999           1380		0.01238	
     501          45200      1160        99999           1390		0.01957	
     501          59000      1430        99999           1400		0.02412	
     501          76000      1840        99999           1410		0.01753	
     501          95400      2180        99999           1420		0.01447	
     501         118900      2520        99999           1430		0.01119	
     501         145700      2820        99999           1440		0.01115	
     501         175300      3150        99999           1450		0.00846	
     501         208400      3430        99999           1460		0.00632	
     501         243200      3650        99999           1470		0.00559	
     501         280800      3860        99999           1480		0.00558	
     501         322000      4090        99999           1490		0.00558	
     600              0         0        99999           1109		0.01696	     
     600          57500       975        99999           1197		0.01696	
