C*******************************************************************************
C                       Groundwater Hydrograph at Selected Nodes
C
C   NOUTH     ;  Total number of hydrographs to be printed
C                  (set NOUTH = 0 if no hydrograph data is to be printed)
C   GWHSOMEFL ;  File name for groundwater hydrograph output at specified locations
C                  * Leave blank if this output is not required
C   FACTXY    ;  Conversion factor for hydrograph location coordinates
C   ID        ;  Sequential ID number for hydrograph locations
C   ILAYER    ;  Aquifer layer number 
C                  (set ILAYER = 0 to print average head for all layers)
C   X         ;  x-coordinate of hydrograph location
C                  * Leave blank if location is specified as a node
C   Y         ;  y-coordinate of hydrograph location 
C                  * Leave blank if location is specified as a node
C   INODE     ;  Node number for hydrograph print-out 
C                  * Leave blank if location is specified x-y coordinate
C             
C-------------------------------------------------------------------------------
C   VALUE                                        DESCRIPTION
C-------------------------------------------------------------------------------
     1387                                           / NOUTH     169
     GWhyd.out                                  / GWSOMEFL
     3.2808                                      / FACTXY   
C-------------------------------------------------------------------------------
C   ID       ILAYER     X            Y            INODE                                   
C-------------------------------------------------------------------------------
 249	       1    686245       4122404
 250	       2    688488       4121311
 251	       1    688490       4121222
 252	       1    691852       4117846
 253	       1    699910       4125649
 254	       1    698031       4122518
 255	       1    708299       4125198
 256	       1    703898       4122592
 257	       1    714863       4122222
 258	       1    714886       4120312
 259	       2    730859       4126999
 260	       1    723624       4126703
 261	       1    734075       4127544
 262	       2    736959       4124434
 263	       1    735004       4122572
 264	       1    746228       4123806
 265	       1    742939       4120299
 266	       1    747075       4118943
 267	       1    601241       4278273
 268	       1    599088       4276426
 269	       1    596302       4274272
 270	       1    591290       4274712
 271	       1    609131       4277933
 272	       1    610600       4274346
 273	       1    620533       4279751
 274	       1    615465       4271529
 275	       1    624720       4278583
 276	       1    627834       4279287
 277	       1    627321       4275416
 278	       1    641805       4278813
 279	       1    639391       4277960
 280	       1    635331       4275015
 281	       1    648818       4279962
 282	       1    646797       4274840
 283	       1    655804       4279707
 284	       1    652717       4272686
 285	       1    660154       4272932
 286	       2    680219       4117366
 287	       1    678058       4115811
 288	       1    674906       4112759
 289	       1    682406       4110698
 290	       1    688324       4113603
 291	       2    692365       4111752
 292	       1    690495       4107946
 293	       1    697294       4108868
 294	       1    700566       4108146
 295	       1    707369       4116848
 296	       1    708473       4112068
 297	       1    713194       4113108
 298	       1    719653       4112574
 299	       2    721074       4110912
 300	       2    716551       4110118
 301	       1    723360       4116924
 302	       2    731704       4114374
 303	       1    725326       4111858
 304	       2    726871       4113287
 305	       1    725345       4110159
 306	       2    741265       4116708
 307	       2    737393       4109657
 308	       2    742862       4117121
 309	       1    750818       4116799
 310	       1    742295       4113650
 311	       2    747027       4112399
 312	       1    753305       4118051
 313	       1    755172       4117429
 314	       1    765591       4111242
 315	       1    601797       4287902
 316	       1    601320       4282314
 317	       1    603504       4280277
 318	       1    592042       4288006
 319	       1    585979       4289203
 320	       1    591022       4285963
 321	       1    587294       4280983
 322	       1    613902       4286402
 323	       1    584777       4281233
 324	       1    621085       4286374
 325	       1    620596       4282515
 326	       1    626520       4285837
 327	       1    630103       4285873
 328	       1    633769       4288198
 329	       1    639306       4284308
 330	       1    634639       4280964
 331	       1    644444       4290272
 332	       1    649952       4287676
 333	       2    652060       4287960
 334	       1    678732       4107067
 335	       1    676426       4105076
 336	       1    683544       4102919
 337	       1    686805       4106354
