!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                8               11               60             8.75            48.33
                8               12               60            10.64            39.58
                8                1               60             9.84            28.94
                8                2               60             9.66            19.10
                8                3               60             9.44             9.44
                9                4               60             2.30            27.50
                9                5               60             2.28            25.20
                9                6               60             1.94            22.93
                9                7               60             2.36            20.99
                9                8               60             2.01            18.63
                9                9               60             2.28            16.62
                9               10               60             3.03            14.34
                9               11               60             3.03            11.31
                9               12               60             3.04             8.29
                9                1               60             2.04             5.25
                9                2               60             1.47             3.20
                9                3               60             1.73             1.73
               10                4               60             0.00             9.30
               10                5               60             0.00             9.30
               10                6               60             0.00             9.30
               10                7               60             0.00             9.30
               10                8               60             0.10             9.30
               10                9               60             1.27             9.20
               10               10               60             1.67             7.94
               10               11               60             1.66             6.26
               10               12               60             1.62             4.60
               10                1               60             1.52             2.98
               10                2               60             0.69             1.46
               10                3               60             0.77             0.77
               11                4               60             0.21             2.90
               11                5               60             0.16             2.69
               11                6               60             0.16             2.53
               11                7               60             0.17             2.38
               11                8               60             0.24             2.20
               11                9               60             0.36             1.96
               11               10               60             0.41             1.60
               11               11               60             0.35             1.20
               11               12               60             0.28             0.85
               11                1               60             0.22             0.57
               11                2               60             0.16             0.35
               11                3               60             0.19             0.19
               12                4               60             2.12            27.88
               12                5               60             0.68            25.75
               12                6               60             0.19            25.08
               12                7               60             1.03            24.89
               12                8               60             1.03            23.86
               12                9               60             1.82            22.84
               12               10               60             2.26            21.02
               12               11               60             3.15            18.76
               12               12               60             3.90            15.60
               12                1               60             3.90            11.70
               12                2               60             3.90             7.80
               12                3               60             3.90             3.90
               13                4               60             1.07            30.60
               13                5               60             1.07            29.53
               13                6               60             1.43            28.45
               13                7               60             1.43            27.03
               13                8               60             2.05            25.60
               13                9               60             3.06            23.55
               13               10               60             4.11            20.49
               13               11               60             4.10            16.38
               13               12               60             4.10            12.28
               13                1               60             3.06             8.17
               13                2               60             3.06             5.11
               13                3               60             2.05             2.05
               14                4               60             0.04             2.63
               14                5               60             0.04             2.59
               14                6               60             0.04             2.55
               14                7               60             0.33             2.51
               14                8               60             0.51             2.18
               14                9               60             0.54             1.67
               14               10               60             0.54             1.13
               14               11               60             0.14             0.59
               14               12               60             0.15             0.45
               14                1               60             0.14             0.30
               14                2               60             0.09             0.16
               14                3               60             0.08             0.08
               15                4               60             4.18           134.60
               15                5               60             7.53           130.42
               15                6               60             7.74           122.89
               15                7               60            10.66           115.16
               15                8               60            14.81           104.50
               15                9               60            14.81            89.69
               15               10               60            14.81            74.89
               15               11               60            14.89            60.08
               15               12               60            12.66            45.19
               15                1               60            12.45            32.53
               15                2               60            10.63            20.08
               15                3               60             9.45             9.45
               16                4               60             3.71           517.92
               16                5               60             5.93           514.21
               16                6               60             7.69           508.29
               16                7               60            15.81           500.59
               16                8               60            26.93           484.78
               16                9               60            98.45           457.85
               16               10               60           107.65           359.41
               16               11               60           111.06           251.76
               16               12               60            58.20           140.70
               16                1               60            32.49            82.49
               16                2               60            23.78            50.00
               16                3               60            26.22            26.22
               17                4               60             0.13            98.77
               17                5               60             0.40            98.64
               17                6               60             1.37            98.24
               17                7               60             4.35            96.87
               17                8               60            14.62            92.52
               17                9               60            15.90            77.90
               17               10               60            16.70            62.00
               17               11               60            17.70            45.30
               17               12               60            13.10            27.60
               17                1               60             7.70            14.50
               17                2               60             4.40             6.80
               17                3               60             2.40             2.40
               18                4               60             0.15            66.13
               18                5               60             0.78            65.98
               18                6               60             2.22            65.20
               18                7               60             5.55            62.98
               18                8               60             8.11            57.43
               18                9               60            10.51            49.32
               18               10               60            11.31            38.81
               18               11               60            10.43            27.50
               18               12               60             7.75            17.07
               18                1               60             4.52             9.32
               18                2               60             2.50             4.80
               18                3               60             2.30             2.30
               19                4               60             0.86            83.91
               19                5               60             1.68            83.05
               19                6               60             1.67            81.37
               19                7               60             3.92            79.70
               19                8               60             9.95            75.78
               19                9               60            16.83            65.83
               19               10               60            17.00            49.00
               19               11               60            14.83            32.00
               19               12               60             9.67            17.17
               19                1               60             4.00             7.50
               19                2               60             1.75             3.50
               19                3               60             1.75             1.75
               20                4               60             0.10             2.30
               20                5               60             0.10             2.20
               20                6               60             0.19             2.11
               20                7               60             0.22             1.92
               20                8               60             0.25             1.69
               20                9               60             0.25             1.44
               20               10               60             0.25             1.19
               20               11               60             0.25             0.93
               20               12               60             0.27             0.68
               20                1               60             0.16             0.42
               20                2               60             0.14             0.26
               20                3               60             0.12             0.12
               21                4               60             0.00           115.41
               21                5               60             0.00           115.41
               21                6               60             7.01           115.41
               21                7               60             4.90           108.40
